"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Web Automation","Authentication","Alternative Valid Users","0","0","4","0","0"
"Web Automation","Authentication","Login Screen Content","0","0","1","0","0"
"Web Automation","Homepage","Product Details In Home","0","0","5","0","0"
"Web Automation","Shared Components","Cart","0","0","1","0","0"
"Web Automation","Homepage","Home With Alternative Users","0","0","4","0","0"
"Web Automation","Homepage","Cart","0","0","2","0","0"
"Web Automation","Homepage","Sorting","0","0","5","0","0"
"Web Automation","Authentication","Login Screen Layout","0","0","1","0","0"
"Web Automation","Authentication","Login Validations","0","0","3","0","0"
"Web Automation","Homepage","Home Load","0","0","1","0","0"
"Web Automation","Shared Components","Menu","0","0","2","0","0"
"Web Automation","Homepage","Home Header","0","0","1","0","0"
"Web Automation","Authentication","Successful Login","0","0","1","0","0"
"Web Automation","Homepage","Catalog","0","0","1","0","0"
